tissue	cell_fraction	n	mean	median	sd
non_tumor	B cells memory	37	0.02121853152525006	0.00164296976673678	0.02962971024495217
non_tumor	B cells naive	37	0.01659601067386179	0.00986224242477875	0.02228995674178026
non_tumor	Dendritic cells activated	37	0.00326276509586301	0	0.00716729569049326
non_tumor	Dendritic cells resting	37	0.01206986040640654	0.0117049197348745	0.0113749900636319
non_tumor	Eosinophils	37	1.950507028194255e-4	0	8.824852095473525e-4
non_tumor	Macrophages M0	37	0.00616259524039157	0	0.02351869084895038
non_tumor	Macrophages M1	37	0.07390536701258585	0.0594710487126072	0.04281047754819057
non_tumor	Macrophages M2	37	0.20998582670068425	0.21331302629992	0.06676990691995881
non_tumor	Mast cells activated	37	0.05603649321687833	0.0581461959647814	0.03643274626393956
non_tumor	Mast cells resting	37	0.00399021616785621	0	0.01055823061524556
non_tumor	Monocytes	37	0.03533914925493853	0.0252711900011623	0.0317278396111099
non_tumor	NK cells activated	37	0.0544736649368872	0.0502745872691297	0.02761476595063212
non_tumor	NK cells resting	37	0.00783696900428159	0	0.01756713579272201
non_tumor	Neutrophils	37	0.02675547810922906	0.0271337315390877	0.01742191191884993
non_tumor	Plasma cells	37	0.17939018244866933	0.16780917905594	0.05627630479337288
non_tumor	T cells CD4 memory activated	37	0	0	0
non_tumor	T cells CD4 memory resting	37	0.12034732166063052	0.126549873948456	0.06164169950729267
non_tumor	T cells CD4 naive	37	0	0	0
non_tumor	T cells CD8	37	0.10944200290361689	0.119871402959663	0.0419567389398334
non_tumor	T cells follicular helper	37	0.04280214539460175	0.0429764093886346	0.03156703056111255
non_tumor	T cells gamma delta	37	0.0116993472052352	0	0.01995138902300441
non_tumor	T cells regulatory (Tregs)	37	0.00849102233931293	0	0.01169390396887615
tumor	B cells memory	70	0.0252624469872843	3.48568647686185e-4	0.03725247880093892
tumor	B cells naive	70	0.02119319902895335	0.00891100566468074	0.02671035019636055
tumor	Dendritic cells activated	70	0.01075748339203229	0	0.01815399937415548
tumor	Dendritic cells resting	70	0.01325793356265376	0.00728317749992381	0.01869844381178671
tumor	Eosinophils	70	4.19718804615823e-4	0	0.00230674574949716
tumor	Macrophages M0	70	0.04809580904594486	0.02027399358479335	0.07185712594290528
tumor	Macrophages M1	70	0.06185733987988819	0.05525986994857095	0.04474858049217544
tumor	Macrophages M2	70	0.20894422904066268	0.2055543345274355	0.10270239923572032
tumor	Mast cells activated	70	0.02855121448221566	0.0142644166578076	0.03585093073102566
tumor	Mast cells resting	70	0.0170212044663086	0	0.03182602907634922
tumor	Monocytes	70	0.03662874615924055	0.03196192963296335	0.03022455795400767
tumor	NK cells activated	70	0.05835503951653669	0.06325418899671695	0.03284610450218251
tumor	NK cells resting	70	0.01142334218637172	0	0.02558110043984198
tumor	Neutrophils	70	0.02348887373268917	0.0136687069374695	0.02895760807439406
tumor	Plasma cells	70	0.08967288440081149	0.07075469940939674	0.05237286906265224
tumor	T cells CD4 memory activated	70	2.8723813711257567e-5	0	2.40320667418206e-4
tumor	T cells CD4 memory resting	70	0.16729759043172862	0.1448512567696835	0.10505079771399542
tumor	T cells CD4 naive	70	4.039802599940986e-4	0	0.00337994135045905
tumor	T cells CD8	70	0.09889066612306471	0.0953598005158606	0.05676863121399581
tumor	T cells follicular helper	70	0.04817459001110961	0.04283374751556484	0.04385597336705232
tumor	T cells gamma delta	70	0.00157764728003143	0	0.0046412159007621304
tumor	T cells regulatory (Tregs)	70	0.02869733739415114	0.02091102832176999	0.0301698092852307
