score	model	covariates	n	events	HR_per_SD	conf.low	conf.high	p.value	ph_score_term_p	ph_global_p	formula
ProlifHubScore	score_only	None; score only	369	130	1.4392985280530453	1.200319513257112	1.7258573487940323	8.461603952581511e-5	0.0016596595884848689	0.0016596595884848689	survival::Surv(time_months, event) ~ scale(ProlifHubScore)
HepLossScore	score_only	None; score only	369	130	0.863047292970962	0.7130160760167059	1.0446477365077724	0.130620514350011	0.03949181942260935	0.03949181942260935	survival::Surv(time_months, event) ~ scale(HepLossScore)
HCCStateScore	score_only	None; score only	369	130	1.4277175021708413	1.1680864497064545	1.7450568547535157	5.06784244026138e-4	1.662319701904371e-4	1.662319701904371e-4	survival::Surv(time_months, event) ~ scale(HCCStateScore)
ProlifHubScore	age_sex_adjusted	Age and sex	369	130	1.4851611914375644	1.2314311414586698	1.7911710125663372	3.5057052479663505e-5	0.0013770651538718708	0.008043163311933966	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp
HepLossScore	age_sex_adjusted	Age and sex	369	130	0.865538722793812	0.7143551968774567	1.0487181781979205	0.1403994657767908	0.027237293117743495	0.052312353373884096	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp
HCCStateScore	age_sex_adjusted	Age and sex	369	130	1.447855361629976	1.179963979775338	1.7765670682589776	3.922859648420196e-4	7.645972857112684e-5	6.480497733816388e-4	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp
ProlifHubScore	age_sex_stage_adjusted	Age, sex, and pathologic stage	173	74	1.4391775678184568	1.129395754052721	1.8339293947931403	0.00324111180318384	0.04492482922358658	0.10976110613136836	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp + stage_collapsed
HepLossScore	age_sex_stage_adjusted	Age, sex, and pathologic stage	173	74	0.8819746481881328	0.6608067468510498	1.177166068224058	0.3938648122479117	0.8033003081522441	0.29016370750014475	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed
HCCStateScore	age_sex_stage_adjusted	Age, sex, and pathologic stage	173	74	1.5075248126518577	1.122239412724145	2.0250857660081563	0.00641431984684726	0.0652742680376784	0.12291873113742333	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed
