file	accession	n_expression_rows	n_hallmark_unique_genes	n_overlap	first_expression_ids	probe_like_fraction_first_1000
GSE112790_curated.rds	GSE112790	21753	4384	4206	A1BG, A1BG-AS1, A1CF, A2M, A2M-AS1, A2ML1, A2MP1, A4GALT, A4GNT, AA06	0
GSE121248_curated.rds	GSE121248	21753	4384	4206	A1BG, A1BG-AS1, A1CF, A2M, A2M-AS1, A2ML1, A2MP1, A4GALT, A4GNT, AA06	0
GSE14520_curated.rds	GSE14520	13183	4384	4041	A1CF, A2M, A4GALT, A4GNT, AAAS, AACS, AADAC, AAGAB, AAK1, AAMDC	0
GSE25097_curated.rds	GSE25097	18076	4384	3943	A1BG, A1CF, A2LD1, A2M, A2ML1, A4GALT, A4GNT, AAAS, AACS, AACSL	0
GSE36376_curated.rds	GSE36376	20759	4384	4258	A1BG, A1BG-AS1, A1CF, A2M, A2ML1, A3GALT2, A4GALT, A4GNT, AAAS, AACS	0
GSE38941_curated.rds	GSE38941	21753	4384	4206	A1BG, A1BG-AS1, A1CF, A2M, A2M-AS1, A2ML1, A2MP1, A4GALT, A4GNT, AA06	0
GSE41804_curated.rds	GSE41804	21753	4384	4206	A1BG, A1BG-AS1, A1CF, A2M, A2M-AS1, A2ML1, A2MP1, A4GALT, A4GNT, AA06	0
GSE45267_curated.rds	GSE45267	21753	4384	4206	A1BG, A1BG-AS1, A1CF, A2M, A2M-AS1, A2ML1, A2MP1, A4GALT, A4GNT, AA06	0
GSE57957_curated.rds	GSE57957	20759	4384	4258	A1BG, A1BG-AS1, A1CF, A2M, A2ML1, A3GALT2, A4GALT, A4GNT, AAAS, AACS	0
GSE76427_curated.rds	GSE76427	20759	4384	4258	A1BG, A1BG-AS1, A1CF, A2M, A2ML1, A3GALT2, A4GALT, A4GNT, AAAS, AACS	0
GSE83148_curated.rds	GSE83148	21753	4384	4206	A1BG, A1BG-AS1, A1CF, A2M, A2M-AS1, A2ML1, A2MP1, A4GALT, A4GNT, AA06	0
