module	gene	rank	module_size
ProlifHub	CAP2	1	20
ProlifHub	ASPM	2	20
ProlifHub	CENPW	3	20
ProlifHub	PLVAP	4	20
ProlifHub	TOP2A	5	20
ProlifHub	ECT2	6	20
ProlifHub	NUSAP1	7	20
ProlifHub	ITGA6	8	20
ProlifHub	RACGAP1	9	20
ProlifHub	TTC13	10	20
ProlifHub	COL15A1	11	20
ProlifHub	GJC1	12	20
ProlifHub	PRC1	13	20
ProlifHub	CDKN3	14	20
ProlifHub	UBE2Q1	15	20
ProlifHub	BUB1B	16	20
ProlifHub	ANLN	17	20
ProlifHub	PTTG1	18	20
ProlifHub	CENPF	19	20
ProlifHub	IRAK1	20	20
HepLoss	FCN2	1	20
HepLoss	CLEC4M	2	20
HepLoss	LINC01093	3	20
HepLoss	ADAMTS13	4	20
HepLoss	FAM65C	5	20
HepLoss	ANGPTL6	6	20
HepLoss	ADGRG7	7	20
HepLoss	CDHR2	8	20
HepLoss	CLEC1B	9	20
HepLoss	CXCL14	10	20
HepLoss	VIPR1	11	20
HepLoss	PLAC8	12	20
HepLoss	CFP	13	20
HepLoss	CYP1A2	14	20
HepLoss	CRHBP	15	20
HepLoss	HHIP	16	20
HepLoss	STAB2	17	20
HepLoss	FAHD2A	18	20
HepLoss	ECM1	19	20
HepLoss	FCN3	20	20
