dataset	score	n_tumor	n_non_tumor	delta_tumor_minus_nontumor	cohens_d	p_value	AUC	AUC_low	AUC_high	module_size
GSE121248	HCCStateScore	70	37	3.269219477639795	3.784897281077538	3.483901636542786e-32	0.9613899613899615	0.9080742082028177	1	10
GSE41804	HCCStateScore	20	20	2.8263631188111837	2.800635681991814	1.539927852027949e-10	0.965	0.9080349072389893	1	10
GSE14520	HCCStateScore	225	220	3.02218597963262	4.747656784471127	1.2589895779365652e-183	0.991030303030303	0.9818555409418276	1	10
GSE25097	HCCStateScore	268	289	2.633086095232673	4.275748804905964	6.857869398940207e-206	0.99789547074317	0.9960552158172706	0.9997357256690695	10
GSE76427	HCCStateScore	115	52	2.506218056106981	3.2656949216068645	8.536110646194674e-38	0.9688963210702342	0.9391416064463654	0.998651035694103	10
GSE36376	HCCStateScore	240	193	2.5503158007190794	4.641927675289142	7.167981964948311e-173	0.9938255613126079	0.9859640631704963	1	10
GSE57957	HCCStateScore	39	39	2.529591350345523	2.9341528274207263	1.7698125023450582e-20	0.9421433267587114	0.8766250578971835	1	10
GSE45267	HCCStateScore	46	41	3.114025841791486	4.22916852942178	7.191206746295302e-26	0.9671261930010604	0.9244851311706223	1	10
GSE112790	HCCStateScore	183	15	4.327774624469006	4.5702625314154215	9.025061163141065e-24	0.9978142076502732	0.9940234263396007	1	10
GSE121248	HCCStateScore	70	37	3.220899359071286	3.798479064816863	1.4557661410686247e-32	0.9613899613899615	0.9077702558737726	1	15
GSE41804	HCCStateScore	20	20	2.7987346186308297	2.8408006538366024	1.143733613060725e-10	0.9675	0.9149904045524629	1	15
GSE14520	HCCStateScore	225	220	2.9340219491711146	4.892506103657751	1.0146329407800933e-188	0.9903232323232323	0.9817860879349825	0.9988603767114821	15
GSE25097	HCCStateScore	268	289	2.652651333101167	4.501379394365207	3.2153376205742997e-218	0.9978180034085627	0.9957708070161074	0.9998651998010178	15
GSE76427	HCCStateScore	115	52	2.3966974448933307	3.4141491601148632	5.588293487019803e-39	0.9705685618729097	0.9408709433327551	1	15
GSE36376	HCCStateScore	240	193	2.5593387441767224	4.656069914645848	4.384029243761547e-178	0.9918825561312608	0.9830626107717246	1	15
GSE57957	HCCStateScore	39	39	2.3272501836124047	2.855695752846886	3.789886758540481e-20	0.9434582511505588	0.878885195789322	1	15
GSE45267	HCCStateScore	46	41	3.0882786907527544	4.196193423184725	4.653718213922477e-25	0.9618239660657476	0.9147865106389776	1	15
GSE112790	HCCStateScore	183	15	4.156917904549794	4.5136393892026785	2.1108049029133663e-22	0.9963570127504554	0.9905611798190699	1	15
GSE121248	HCCStateScore	70	37	3.19336227847749	3.6688047422811323	1.611704347165297e-31	0.9613899613899615	0.9073290308301745	1	20
GSE41804	HCCStateScore	20	20	2.7828501576989	2.7492029234394315	2.572471230651283e-10	0.9625	0.9010323098514686	1	20
GSE14520	HCCStateScore	225	220	3.007498311572094	4.930854620125573	1.056331950528128e-187	0.9906464646464647	0.9824574008749172	0.9988355284180122	20
GSE25097	HCCStateScore	268	289	2.7086847189915013	4.441232100012188	4.436413158182497e-212	0.9980116717450808	0.9958746026667181	1	20
GSE76427	HCCStateScore	115	52	2.4748605774458134	3.4062923842469734	9.317418500431481e-42	0.975752508361204	0.9522907118465067	0.9992143048759012	20
GSE36376	HCCStateScore	240	193	2.571846547435946	4.594178104828436	2.4310342063364957e-168	0.9933721934369603	0.9852135450968724	1	20
GSE57957	HCCStateScore	39	39	2.3713503703261867	2.800631863225192	1.4418284273546495e-19	0.9401709401709402	0.8726484683160558	1	20
GSE45267	HCCStateScore	46	41	3.1047681281378	4.117507993331729	2.1162470519811387e-25	0.9612937433722163	0.9140765877404119	1	20
GSE112790	HCCStateScore	183	15	4.090666683716438	4.257223569335483	1.3873076802934922e-23	0.9959927140255009	0.989589309779294	1	20
GSE121248	HCCStateScore	70	37	3.1406989332030575	3.6023545061950224	1.1318923083835473e-31	0.9621621621621622	0.9085301012300986	1	30
GSE41804	HCCStateScore	20	20	2.736742622374277	2.773468793791712	2.560172766292277e-10	0.97	0.9183395415219101	1	30
GSE14520	HCCStateScore	225	220	2.9166983250390044	4.891974947700424	1.3169555475707877e-177	0.9903838383838384	0.9821524403510984	0.9986152364165786	30
GSE25097	HCCStateScore	268	289	2.609728220939263	4.411603945115059	1.161967064974148e-202	0.9976630687393483	0.9950505825759639	1	30
GSE76427	HCCStateScore	115	52	2.3970163124703916	3.4444521755506763	2.311605536041237e-45	0.9789297658862877	0.9577902374035451	1	30
GSE36376	HCCStateScore	240	193	2.5118232381874925	4.678760753791185	4.773393523763194e-167	0.9939119170984456	0.9858113169903095	1	30
GSE57957	HCCStateScore	39	39	2.2525735342370043	2.8757124978912203	8.34641361536755e-20	0.9414858645627876	0.8751286117218819	1	30
GSE45267	HCCStateScore	46	41	3.0388792678226566	4.005116337387539	3.1718557980136764e-26	0.9612937433722163	0.9129869616378811	1	30
GSE112790	HCCStateScore	183	15	3.9445623569244614	4.108777062638068	5.160767780151144e-29	0.9941712204007287	0.9839989360013063	1	30
GSE121248	HCCStateScore	70	37	3.059930774203403	3.5769831516492747	2.942615520266678e-32	0.9640926640926641	0.9133161278242756	1	50
GSE41804	HCCStateScore	20	20	2.6826952947992027	2.8307362222609362	1.7722009628716104e-10	0.97	0.9218857152752304	1	50
GSE14520	HCCStateScore	225	220	2.860871811082089	4.926824109514229	6.8025797312989245e-177	0.9903030303030304	0.9822187777309134	0.9983872828751473	50
GSE25097	HCCStateScore	268	289	2.5551522926927266	4.28159984487002	3.455559885785399e-197	0.9969787739503176	0.9938475157923252	1	50
GSE76427	HCCStateScore	115	52	2.3247643156882143	3.468382548665606	9.141018413970265e-46	0.9790969899665551	0.9590065552408792	0.9991874246922311	50
GSE36376	HCCStateScore	240	193	2.380758203685324	4.723286460286453	3.4926510070540945e-165	0.9946459412780656	0.9874665283808772	1	50
GSE57957	HCCStateScore	39	39	2.155002281465644	2.999883926677831	1.3284974445853115e-20	0.94543063773833	0.8821101407299249	1	50
GSE45267	HCCStateScore	46	41	2.9408951563748524	3.8907195873799494	2.78199686054979e-26	0.9581124072110286	0.9062693919452975	1	50
GSE112790	HCCStateScore	183	15	3.7442037090458493	3.9632314452078456	1.3911659602239718e-34	0.9941712204007287	0.9839989360013063	1	50
